llgsolver.__version__: 0.5.1
u0Ms = 0.9047786842338604 T
h_ani_x = 0.01 T
h_ani_z = -7.66477868423386 T
h_therm = 0.0 T
Start hysteresis calculation with 101 points...
current/total       init_r1     init_θ1     init_φ1     init_r2     init_θ2     init_φ2
     74/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     75/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     76/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     77/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079626  6.28317998 
     78/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  6.28318530 
     79/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     80/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079617  6.28318291 
     81/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     82/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  6.28317935 
     83/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  6.28318530 
     84/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     85/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     86/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079623  6.28318294 
     87/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     88/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079641  6.28318117 
     89/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     90/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57948817  3.06377546 
     91/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     92/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     93/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     94/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     95/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     96/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     97/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     98/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
     99/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    100/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
    101/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  3.15159265 
'solve_hysteresis'  1316.40 ms
