llgsolver.__version__: 0.5.1
h_ani_x = 0.01 T
h_ani_z = -7.66477868423386 T
h_therm = 0.0 T
Start hysteresis calculation with 101 points...
current/total       init_r1     init_θ1     init_φ1     init_r2     init_θ2     init_φ2
     74/101      1.00000000  0.01000000  0.00000000  1.00000000  1.41379583  3.14159265 
     75/101      1.00000000  0.01000000  0.00000000  1.00000000  1.46636910  6.28318531 
     76/101      1.00000000  0.01000000  0.00000000  1.00000000  1.51865394  3.14159265 
     77/101      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  6.28318531 
     78/101      1.00000000  0.01000000  0.00000000  1.00000000  1.62293872  3.14159265 
     79/101      1.00000000  0.01000000  0.00000000  1.00000000  1.67522355  6.28318531 
     80/101      1.00000000  0.01000000  0.00000000  1.00000000  1.72779682  3.14159265 
     81/101      1.00000000  0.01000000  0.00000000  1.00000000  1.78081183  0.00000000 
     82/101      1.00000000  0.01000000  0.00000000  1.00000000  1.83443356  3.14159265 
     83/101      1.00000000  0.01000000  0.00000000  1.00000000  1.88884385  0.00000000 
     84/101      1.00000000  0.01000000  0.00000000  1.00000000  1.94424801  3.14159265 
     85/101      1.00000000  0.01000000  0.00000000  1.00000000  2.00088361  6.28318531 
     86/101      1.00000000  0.01000000  0.00000000  1.00000000  2.05903253  3.14159265 
     87/101      1.00000000  0.01000000  0.00000000  1.00000000  2.11903831  6.28318531 
     88/101      1.00000000  0.01000000  0.00000000  1.00000000  2.18133199  3.14159265 
     89/101      1.00000000  0.01000000  0.00000000  1.00000000  2.24647267  6.28318531 
     90/101      1.00000000  0.01000000  0.00000000  1.00000000  2.31521445  0.00000000 
     91/101      1.00000000  0.01000000  0.00000000  1.00000000  2.38862493  0.00000002 
     92/101      1.00000000  0.01000000  0.00000000  1.00000000  2.46831411  3.14159246 
     93/101      1.00000000  0.01000000  0.00000000  1.00000000  2.55693268  0.00000807 
     94/101      1.00000000  0.01000000  0.00000000  1.00000000  2.65950809  3.14166701 
     95/101      1.00000000  0.01000000  0.00000000  1.00000000  2.78740576  3.16043115 
     96/101      1.00000000  0.01000000  0.00000000  1.00000000  2.99906501  2.09089834 
     97/101      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  5.08318736 
     98/101      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  2.48140367 
     99/101      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  2.53791973 
    100/101      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  5.25184641 
    101/101      1.00000000  0.01000000  0.00000000  1.00000000  3.13159265  4.33735164 
'solve_hysteresis'  66381.95 ms
