llgsolver.__version__: 0.5.1
u0Ms = 0.9047786842338604 T
h_ani_x = 0 T
h_ani_z = 0.01 T
h_therm = 0.0 T
Start hysteresis calculation with 201 points...
current/total       init_r1     init_θ1     init_φ1     init_r2     init_θ2     init_φ2
     74/201      1.00000000  0.01000000  0.00000000  1.00000000  1.07563829  0.00001571 
     75/201      1.00000000  0.01000000  0.00000000  1.00000000  1.16770552  6.28313290 
     76/201      1.00000000  0.01000000  0.00000000  1.00000000  1.28637004  0.00016701 
     77/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     78/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57067275  6.28313678 
     79/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079695  6.28318518 
     80/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     81/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57075532  6.28317785 
     82/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079638  6.28318530 
     83/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     84/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     85/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     86/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57080095  6.28318479 
     87/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     88/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079678  6.28318421 
     89/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     90/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     91/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     92/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     93/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079658  6.28318527 
     94/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     95/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079622  6.28318528 
     96/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     97/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079638  6.28318530 
     98/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
     99/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    100/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079634  6.28318530 
    101/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    102/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  6.28318530 
    103/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    104/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079634  6.28318530 
    105/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    106/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079630  6.28318529 
    107/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    108/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    109/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079622  6.28318528 
    110/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    111/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079658  6.28318527 
    112/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    113/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    114/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    115/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    116/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079678  6.28318421 
    117/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    118/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57080095  6.28318479 
    119/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    120/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    121/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079633  0.01000000 
    122/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57078216  6.28317535 
    123/201      1.00000000  0.01000000  0.00000000  1.00000000  1.57079638  6.28318531 
