       Bias_V       I_tot_A        I_up_A        I_dn_A         I_s_A        I_sp_%
 1.000000e-02  8.667506e-17  7.174772e-17  1.492734e-17  5.682038e-17  6.555563e+01
 2.000000e-02  1.742468e-16  1.451903e-16  2.905657e-17  1.161337e-16  6.664896e+01
 3.000000e-02  2.627458e-16  2.203748e-16  4.237106e-17  1.780037e-16  6.774749e+01
 4.000000e-02  3.552771e-16  2.999428e-16  5.533430e-17  2.446085e-16  6.885006e+01
 5.000000e-02  4.485242e-16  3.810883e-16  6.743596e-17  3.136523e-16  6.992985e+01
