llgsolver.__version__: 0.5.1
u0Ms = 0.9173450548482196 T
h_ani_x = 0 T
h_ani_z = 0.29265494515178037 T
h_therm = 0.0 T
Start hysteresis calculation with 201 points...
current/total       init_r1     init_θ1     init_φ1     init_r2     init_θ2     init_φ2
     74/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.72638548 
     75/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  1.22559239 
     76/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.97963603 
     77/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.42214460 
     78/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.83630232 
     79/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.93892294 
     80/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.29637611 
     81/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.34229041 
     82/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  4.64303579 
     83/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.63224083 
     84/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.59309016 
     85/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  4.52558322 
     86/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.14653411 
     87/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.02231293 
     88/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.58654902 
     89/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.40561213 
     90/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  4.91313118 
     91/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.39229115 
     92/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.55990625 
     93/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  2.98234700 
     94/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.09324217 
     95/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  4.45896228 
     96/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.51313623 
     97/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.53894927 
     98/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  4.53640089 
     99/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.22230642 
    100/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.16303536 
    101/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  0.79221720 
    102/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  5.67622202 
    103/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  3.30540386 
    104/201      1.00000000  0.01000000  0.00000000  1.00000000  0.01000000  6.24613279 
